seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t0,255,45
seconds,0.089,,lightning,t1,255,51
seconds,0.196,,lightning,t0,255,48
seconds,0.28600000000000003,,lightning,t4,255,40
seconds,0.381,,lightning,t0,255,48
seconds,0.48,,lightning,t1,255,51
seconds,0.591,,lightning,t0,255,44
seconds,0.6799999999999999,,lightning,t1,255,57
seconds,0.7769999999999999,,lightning,t0,255,45
seconds,0.8669999999999999,,lightning,t4,255,51
seconds,0.9669999999999999,,lightning,t1,255,50
seconds,1.073,,lightning,t5,255,41
seconds,1.162,,lightning,t4,255,41
seconds,1.244,,lightning,t5,255,48
seconds,1.351,,lightning,t1,255,40
seconds,1.439,,lightning,t0,255,58
seconds,1.552,,lightning,t1,255,40
seconds,1.6460000000000001,,lightning,t5,255,53
seconds,1.7510000000000001,,lightning,t4,255,50
seconds,1.858,,lightning,t0,255,48
seconds,1.953,,lightning,t1,255,42
seconds,2.035,,lightning,t4,255,45
seconds,2.12,,lightning,t0,255,51
seconds,2.225,,lightning,t5,255,59
seconds,2.326,,lightning,t0,255,51
seconds,2.432,,lightning,t1,255,55
seconds,2.544,,lightning,t0,255,47
seconds,2.6470000000000002,,lightning,t5,255,58
seconds,2.757,,lightning,t1,255,57
seconds,2.862,,lightning,t4,255,54
seconds,2.962,,lightning,t5,255,60
seconds,3.063,,lightning,t0,255,60
seconds,3.1820000000000004,,lightning,t5,255,47
seconds,3.2730000000000006,,lightning,t1,255,53
seconds,3.3680000000000008,,lightning,t5,255,58
seconds,3.4820000000000007,,lightning,t4,255,52
seconds,3.5860000000000007,,lightning,t0,255,45
seconds,3.689000000000001,,lightning,t1,255,40
seconds,3.782000000000001,,lightning,t5,255,43
seconds,3.884000000000001,,lightning,t4,255,41
seconds,3.9820000000000007,,lightning,t1,255,58
seconds,4.091000000000001,,lightning,t5,255,52
seconds,4.183000000000001,,lightning,t1,255,44
seconds,4.279000000000001,,lightning,t0,255,41
seconds,4.375000000000001,,lightning,t4,255,54
seconds,4.489000000000001,,lightning,t5,255,60
seconds,4.607000000000001,,lightning,t4,255,44
seconds,4.707000000000001,,lightning,t0,255,52
seconds,4.807,,lightning,t1,255,58
seconds,4.920000000000001,,lightning,t5,255,40
seconds,5.005000000000001,,lightning,t1,255,54
seconds,5.1080000000000005,,lightning,t4,255,45
seconds,5.208,,lightning,t0,255,53
seconds,5.301,,lightning,t4,255,53
seconds,5.399,,lightning,t5,255,51
seconds,5.493,,lightning,t1,255,49
seconds,5.583,,lightning,t5,255,45
seconds,5.679,,lightning,t4,255,56
seconds,5.783,,lightning,t5,255,56
seconds,5.891,,lightning,t0,255,45
seconds,5.982,,lightning,t4,255,55
