seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t0,255,43
seconds,0.093,,lightning,t5,255,51
seconds,0.2,,lightning,t1,255,51
seconds,0.309,,lightning,t4,255,49
seconds,0.40800000000000003,,lightning,t0,255,40
seconds,0.504,,lightning,t5,255,43
seconds,0.602,,lightning,t0,255,46
seconds,0.702,,lightning,t4,255,56
seconds,0.7979999999999999,,lightning,t0,255,55
seconds,0.8929999999999999,,lightning,t5,255,46
seconds,0.9849999999999999,,lightning,t1,255,44
seconds,1.077,,lightning,t5,255,42
seconds,1.162,,lightning,t4,255,52
seconds,1.257,,lightning,t1,255,50
seconds,1.365,,lightning,t0,255,56
seconds,1.466,,lightning,t1,255,48
seconds,1.567,,lightning,t0,255,40
seconds,1.66,,lightning,t4,255,60
seconds,1.761,,lightning,t1,255,53
seconds,1.8539999999999999,,lightning,t0,255,57
seconds,1.9629999999999999,,lightning,t5,255,40
seconds,2.0429999999999997,,lightning,t1,255,57
seconds,2.154,,lightning,t0,255,60
seconds,2.268,,lightning,t5,255,54
seconds,2.3659999999999997,,lightning,t0,255,59
seconds,2.4699999999999998,,lightning,t4,255,47
seconds,2.561,,lightning,t5,255,52
seconds,2.67,,lightning,t0,255,56
seconds,2.781,,lightning,t5,255,59
seconds,2.895,,lightning,t4,255,55
seconds,2.999,,lightning,t5,255,55
seconds,3.112,,lightning,t0,255,57
seconds,3.209,,lightning,t1,255,42
seconds,3.302,,lightning,t5,255,44
seconds,3.399,,lightning,t0,255,46
seconds,3.49,,lightning,t5,255,58
seconds,3.615,,lightning,t4,255,52
seconds,3.7310000000000003,,lightning,t5,255,52
seconds,3.8460000000000005,,lightning,t1,255,70
seconds,3.9810000000000008,,lightning,t0,255,60
seconds,4.103000000000001,,lightning,t4,255,65
seconds,4.234000000000001,,lightning,t1,255,77
seconds,4.373000000000001,,lightning,t5,255,76
seconds,4.513000000000001,,lightning,t1,255,74
seconds,4.659000000000001,,lightning,t4,255,68
seconds,4.791,,lightning,t1,255,84
seconds,4.95,,lightning,t5,255,81
seconds,5.115,,lightning,t0,255,90
seconds,5.277,,lightning,t1,255,74
seconds,5.4350000000000005,,lightning,t0,255,81
seconds,5.603000000000001,,lightning,t5,255,83
seconds,5.7700000000000005,,lightning,t0,255,86
seconds,5.944000000000001,,lightning,t5,255,81
seconds,6.110000000000001,,lightning,t0,255,90
seconds,6.284000000000002,,lightning,t5,255,96
seconds,6.475000000000001,,lightning,t1,255,105
seconds,6.6720000000000015,,lightning,t4,255,99
seconds,6.864000000000002,,lightning,t1,255,94
seconds,7.057000000000001,,lightning,t5,255,101
seconds,7.262000000000001,,lightning,t1,255,115
