seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t4,255,44
seconds,0.103,,lightning,t0,255,55
seconds,0.202,,lightning,t5,255,48
seconds,0.29300000000000004,,lightning,t4,255,57
seconds,0.39,,lightning,t0,255,57
seconds,0.503,,lightning,t1,255,46
seconds,0.599,,lightning,t4,255,41
seconds,0.697,,lightning,t0,255,49
seconds,0.8049999999999999,,lightning,t1,255,53
seconds,0.9049999999999999,,lightning,t4,255,43
seconds,1.003,,lightning,t5,255,60
seconds,1.1039999999999999,,lightning,t1,255,48
seconds,1.21,,lightning,t0,255,41
seconds,1.302,,lightning,t5,255,56
seconds,1.4140000000000001,,lightning,t0,255,44
seconds,1.4980000000000002,,lightning,t1,255,51
seconds,1.5950000000000002,,lightning,t5,255,50
seconds,1.6930000000000003,,lightning,t0,255,46
seconds,1.7860000000000003,,lightning,t4,255,55
seconds,1.8820000000000003,,lightning,t5,255,47
seconds,1.9860000000000004,,lightning,t1,255,43
seconds,2.0690000000000004,,lightning,t5,255,54
seconds,2.1670000000000003,,lightning,t4,255,53
seconds,2.2670000000000003,,lightning,t1,255,56
seconds,2.3680000000000003,,lightning,t5,255,42
seconds,2.4530000000000003,,lightning,t0,255,51
seconds,2.5620000000000003,,lightning,t4,255,45
seconds,2.6630000000000003,,lightning,t1,255,40
seconds,2.7630000000000003,,lightning,t5,255,49
seconds,2.853,,lightning,t1,255,46
seconds,2.9530000000000003,,lightning,t4,255,59
seconds,3.0540000000000003,,lightning,t5,255,45
seconds,3.1430000000000002,,lightning,t4,255,43
seconds,3.228,,lightning,t5,255,52
seconds,3.329,,lightning,t1,255,53
seconds,3.4410000000000003,,lightning,t5,255,50
seconds,3.5480000000000005,,lightning,t0,255,62
seconds,3.6770000000000005,,lightning,t1,255,55
seconds,3.8040000000000003,,lightning,t0,255,61
seconds,3.923,,lightning,t1,255,58
seconds,4.039,,lightning,t0,255,56
seconds,4.167999999999999,,lightning,t1,255,67
seconds,4.311999999999999,,lightning,t0,255,66
seconds,4.456999999999999,,lightning,t1,255,67
seconds,4.602999999999999,,lightning,t5,255,64
seconds,4.746999999999999,,lightning,t4,255,76
seconds,4.898999999999999,,lightning,t0,255,86
seconds,5.061999999999999,,lightning,t4,255,75
seconds,5.220999999999999,,lightning,t1,255,79
seconds,5.388999999999999,,lightning,t4,255,84
seconds,5.552999999999999,,lightning,t1,255,93
seconds,5.724999999999999,,lightning,t4,255,89
seconds,5.907999999999999,,lightning,t5,255,87
seconds,6.088999999999999,,lightning,t4,255,101
seconds,6.289999999999998,,lightning,t5,255,93
seconds,6.482999999999998,,lightning,t4,255,101
seconds,6.677999999999998,,lightning,t0,255,88
