seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t1,255,166
seconds,0.376,,lightning,t0,255,211
seconds,0.817,,lightning,t5,255,196
seconds,1.2489999999999999,,lightning,t1,255,167
seconds,1.6389999999999998,,lightning,t0,255,173
seconds,2.041,,lightning,t4,255,195
seconds,2.437,,lightning,t5,255,190
seconds,2.8329999999999997,,lightning,t0,255,173
seconds,3.2379999999999995,,lightning,t1,255,218
seconds,3.6949999999999994,,lightning,t5,255,199
seconds,4.111999999999999,,lightning,t0,255,161
seconds,4.441999999999999,,lightning,t5,255,174
seconds,4.802,,lightning,t0,255,203
seconds,5.193,,lightning,t5,255,208
seconds,5.6049999999999995,,lightning,t1,255,162
seconds,5.983,,lightning,t4,255,172
seconds,6.388,,lightning,t5,255,181
seconds,6.734999999999999,,lightning,t1,255,239
seconds,7.177,,lightning,t5,255,227
seconds,7.576,,lightning,t1,255,206
seconds,8.020999999999999,,lightning,t4,255,170
seconds,8.425999999999998,,lightning,t5,255,202
seconds,8.822999999999999,,lightning,t1,255,171
seconds,9.209999999999999,,lightning,t5,255,218
seconds,9.608999999999998,,lightning,t1,255,171
seconds,9.947999999999999,,lightning,t5,255,190
seconds,10.332999999999998,,lightning,t4,255,188
seconds,10.755999999999998,,lightning,t1,255,172
seconds,11.126999999999999,,lightning,t5,255,187
seconds,11.520999999999999,,lightning,t0,255,181
seconds,11.924,,lightning,t4,255,185
seconds,12.299999999999999,,lightning,t0,255,171
seconds,12.674,,lightning,t1,255,223
seconds,13.103,,lightning,t0,255,198
seconds,13.488999999999999,,lightning,t5,255,204
seconds,13.857,,lightning,t1,255,183
seconds,14.27,,lightning,t0,255,214
seconds,14.708,,lightning,t5,255,160
seconds,15.105,,lightning,t0,255,207
seconds,15.493,,lightning,t4,255,178
seconds,15.858,,lightning,t1,255,171
seconds,16.227,,lightning,t4,255,177
seconds,16.617,,lightning,t0,255,202
seconds,17.05,,lightning,t4,255,173
seconds,17.446,,lightning,t5,255,231
seconds,17.880000000000003,,lightning,t4,255,224
seconds,18.330000000000002,,lightning,t1,255,205
seconds,18.740000000000002,,lightning,t5,255,235
seconds,19.141000000000002,,lightning,t1,255,169
seconds,19.540000000000003,,lightning,t0,255,224
seconds,19.984,,lightning,t1,255,223
seconds,20.400000000000002,,lightning,t4,255,174
seconds,20.76,,lightning,t5,255,218
seconds,21.139000000000003,,lightning,t4,255,202
seconds,21.512000000000004,,lightning,t1,255,189
seconds,21.912000000000003,,lightning,t0,255,189
seconds,22.267000000000003,,lightning,t4,255,195
seconds,22.662000000000003,,lightning,t1,255,166
seconds,22.995,,lightning,t0,255,176
seconds,23.369,,lightning,t5,255,211
