seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t0,255,55
seconds,0.114,,lightning,t5,255,44
seconds,0.21000000000000002,,lightning,t1,255,57
seconds,0.327,,lightning,t5,255,41
seconds,0.41100000000000003,,lightning,t4,255,47
seconds,0.511,,lightning,t0,255,54
seconds,0.608,,lightning,t1,255,43
seconds,0.706,,lightning,t4,255,60
seconds,0.825,,lightning,t0,255,60
seconds,0.9319999999999999,,lightning,t4,255,59
seconds,1.04,,lightning,t0,255,56
seconds,1.139,,lightning,t5,255,43
seconds,1.234,,lightning,t4,255,57
seconds,1.351,,lightning,t5,255,57
seconds,1.452,,lightning,t4,255,51
seconds,1.554,,lightning,t1,255,47
seconds,1.6420000000000001,,lightning,t5,255,50
seconds,1.7480000000000002,,lightning,t1,255,40
seconds,1.8430000000000002,,lightning,t4,255,49
seconds,1.9320000000000002,,lightning,t5,255,41
seconds,2.0180000000000002,,lightning,t4,255,45
seconds,2.123,,lightning,t0,255,45
seconds,2.225,,lightning,t5,255,51
seconds,2.334,,lightning,t4,255,52
seconds,2.436,,lightning,t1,255,41
seconds,2.53,,lightning,t5,255,44
seconds,2.629,,lightning,t0,255,42
seconds,2.72,,lightning,t5,255,47
seconds,2.8160000000000003,,lightning,t0,255,42
seconds,2.902,,lightning,t5,255,58
seconds,3.0140000000000002,,lightning,t1,255,57
seconds,3.128,,lightning,t0,255,58
seconds,3.2350000000000003,,lightning,t5,255,58
seconds,3.3390000000000004,,lightning,t1,255,59
seconds,3.4450000000000003,,lightning,t0,255,42
seconds,3.5380000000000003,,lightning,t5,255,57
seconds,3.6550000000000002,,lightning,t0,255,53
seconds,3.749,,lightning,t1,255,46
seconds,3.851,,lightning,t0,255,47
seconds,3.944,,lightning,t4,255,50
seconds,4.05,,lightning,t1,255,54
seconds,4.154,,lightning,t5,255,40
seconds,4.241,,lightning,t1,255,41
seconds,4.33,,lightning,t4,255,52
seconds,4.425,,lightning,t1,255,45
seconds,4.511,,lightning,t4,255,40
seconds,4.609,,lightning,t0,255,40
seconds,4.707,,lightning,t1,255,53
seconds,4.808,,lightning,t5,255,56
seconds,4.913,,lightning,t1,255,54
seconds,5.027,,lightning,t4,255,51
seconds,5.125,,lightning,t1,255,53
seconds,5.218,,lightning,t4,255,60
seconds,5.334,,lightning,t5,255,52
seconds,5.446,,lightning,t1,255,60
seconds,5.563,,lightning,t5,255,40
seconds,5.657,,lightning,t4,255,46
seconds,5.763,,lightning,t0,255,48
seconds,5.865,,lightning,t5,255,55
seconds,5.96,,lightning,t0,255,58
seconds,6.073,,lightning,t4,255,47
seconds,6.163,,lightning,t0,255,53
seconds,6.2700000000000005,,lightning,t4,255,53
