seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t5,255,43
seconds,0.024,,lightning,ba,90,46
seconds,0.05,,lightning,t1,255,47
seconds,0.07500000000000001,,lightning,ba,90,50
seconds,0.1,,lightning,t0,255,49
seconds,0.122,,lightning,ba,90,43
seconds,0.145,,lightning,t5,255,45
seconds,0.174,,lightning,ba,90,45
seconds,0.20299999999999999,,lightning,t4,255,47
seconds,0.22899999999999998,,lightning,ba,90,43
seconds,0.258,,lightning,t1,255,49
seconds,0.281,,lightning,ba,90,48
seconds,0.30400000000000005,,lightning,t5,255,43
seconds,0.3320000000000001,,lightning,ba,90,49
seconds,0.3600000000000001,,lightning,t1,255,48
seconds,0.3880000000000001,,lightning,ba,90,48
seconds,0.41700000000000015,,lightning,t0,255,50
seconds,0.44000000000000017,,lightning,ba,90,47
seconds,0.4650000000000002,,lightning,t1,255,48
seconds,0.4940000000000002,,lightning,ba,90,48
seconds,0.5200000000000002,,lightning,t0,255,48
seconds,0.5450000000000003,,lightning,ba,90,43
seconds,0.5720000000000003,,lightning,t5,255,48
seconds,0.5940000000000003,,lightning,ba,90,44
seconds,0.6240000000000003,,lightning,t1,255,41
seconds,0.6540000000000004,,lightning,ba,90,46
seconds,0.6770000000000004,,lightning,t0,255,46
seconds,0.6990000000000004,,lightning,ba,90,50
seconds,0.7290000000000004,,lightning,t4,255,48
seconds,0.7560000000000004,,lightning,ba,90,44
seconds,0.7770000000000005,,lightning,t5,255,43
seconds,0.8040000000000005,,lightning,ba,90,49
seconds,0.8240000000000005,,lightning,t0,255,45
seconds,0.8490000000000005,,lightning,ba,90,46
seconds,0.8780000000000006,,lightning,t1,255,48
seconds,0.9080000000000006,,lightning,ba,90,43
seconds,0.9290000000000006,,lightning,t5,255,41
seconds,0.9500000000000006,,lightning,ba,90,41
seconds,0.9790000000000006,,lightning,t1,255,47
seconds,1.0020000000000007,,lightning,ba,90,46
seconds,1.0230000000000006,,lightning,t5,255,41
seconds,1.0450000000000006,,lightning,ba,90,43
seconds,1.0740000000000005,,lightning,t1,255,46
seconds,1.0980000000000005,,lightning,ba,90,46
seconds,1.1240000000000006,,lightning,t0,255,47
seconds,1.1490000000000005,,lightning,ba,90,46
seconds,1.1710000000000005,,lightning,t4,255,48
seconds,1.1990000000000005,,lightning,ba,90,41
seconds,1.2290000000000005,,lightning,t0,255,47
seconds,1.2580000000000005,,lightning,ba,90,41
seconds,1.2790000000000004,,lightning,t5,255,42
seconds,1.3010000000000004,,lightning,ba,90,43
seconds,1.3280000000000003,,lightning,t0,255,50
seconds,1.3530000000000002,,lightning,ba,90,41
seconds,1.3790000000000002,,lightning,t4,255,47
