seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t4,255,50
seconds,0.1,,lightning,t5,255,50
seconds,0.2,,lightning,t1,255,50
seconds,0.30000000000000004,,lightning,t4,255,50
seconds,0.4,,lightning,ba,100,50
seconds,0.5,,lightning,t5,255,50
seconds,0.6,,lightning,t1,255,50
seconds,0.7,,lightning,t4,255,50
seconds,0.7999999999999999,,lightning,t1,255,50
seconds,0.8999999999999999,,lightning,t4,255,50
seconds,0.9999999999999999,,lightning,ba,100,50
seconds,1.0999999999999999,,lightning,t4,255,50
seconds,1.2,,lightning,t0,255,50
seconds,1.3,,lightning,t1,255,50
seconds,1.4000000000000001,,lightning,t4,255,50
seconds,1.5000000000000002,,lightning,t5,255,50
seconds,1.6000000000000003,,lightning,t4,255,50
seconds,1.7000000000000004,,lightning,ba,100,50
seconds,1.8000000000000005,,lightning,t5,255,50
seconds,1.9000000000000006,,lightning,t4,255,50
seconds,2.0000000000000004,,lightning,ba,100,50
seconds,2.1000000000000005,,lightning,t4,255,50
seconds,2.2000000000000006,,lightning,t5,255,50
seconds,2.3000000000000007,,lightning,ba,100,50
seconds,2.400000000000001,,lightning,t5,255,50
seconds,2.500000000000001,,lightning,t0,255,50
seconds,2.600000000000001,,lightning,t4,255,50
seconds,2.700000000000001,,lightning,t0,255,50
seconds,2.800000000000001,,lightning,t5,255,50
seconds,2.9000000000000012,,lightning,ba,100,50
seconds,3.0000000000000013,,lightning,t0,255,50
seconds,3.1000000000000014,,lightning,t1,255,50
seconds,3.2000000000000015,,lightning,t4,255,50
seconds,3.3000000000000016,,lightning,t5,255,50
seconds,3.4000000000000017,,lightning,ba,100,50
seconds,3.5000000000000018,,lightning,t0,255,50
seconds,3.600000000000002,,lightning,t4,255,50
seconds,3.700000000000002,,lightning,ba,100,50
seconds,3.800000000000002,,lightning,t1,255,50
seconds,3.900000000000002,,lightning,t4,255,50
seconds,4.000000000000002,,lightning,t1,255,50
seconds,4.100000000000001,,lightning,ba,100,50
seconds,4.200000000000001,,lightning,t1,255,50
seconds,4.300000000000001,,lightning,t5,255,50
seconds,4.4,,lightning,ba,100,50
seconds,4.5,,lightning,t0,255,50
seconds,4.6,,lightning,ba,100,50
seconds,4.699999999999999,,lightning,t5,255,50
seconds,4.799999999999999,,lightning,t1,255,50
seconds,4.899999999999999,,lightning,t0,255,50
seconds,4.999999999999998,,lightning,t1,255,50
seconds,5.099999999999998,,lightning,t4,255,50
seconds,5.1999999999999975,,lightning,ba,100,50
seconds,5.299999999999997,,lightning,t4,255,50
seconds,5.399999999999997,,lightning,ba,100,50
seconds,5.4999999999999964,,lightning,t4,255,50
seconds,5.599999999999996,,lightning,t5,255,50
seconds,5.699999999999996,,lightning,t4,255,50
seconds,5.799999999999995,,lightning,t1,255,50
seconds,5.899999999999995,,lightning,ba,100,50
seconds,5.999999999999995,,lightning,t1,255,50
seconds,6.099999999999994,,lightning,ba,100,50
seconds,6.199999999999994,,lightning,t0,255,50
seconds,6.299999999999994,,lightning,t4,255,50
seconds,6.399999999999993,,lightning,ba,100,50
seconds,6.499999999999993,,lightning,t1,255,50
seconds,6.5999999999999925,,lightning,t0,255,50
seconds,6.699999999999992,,lightning,t5,255,50
seconds,6.799999999999992,,lightning,t1,255,50
seconds,6.8999999999999915,,lightning,ba,100,50
seconds,6.999999999999991,,lightning,t4,255,50
seconds,7.099999999999991,,lightning,ba,100,50
seconds,7.19999999999999,,lightning,t4,255,50
seconds,7.29999999999999,,lightning,t1,255,50
seconds,7.39999999999999,,lightning,ba,100,50
seconds,7.499999999999989,,lightning,t5,255,50
seconds,7.599999999999989,,lightning,t0,255,50
seconds,7.699999999999989,,lightning,t1,255,50
seconds,7.799999999999988,,lightning,t5,255,50
seconds,7.899999999999988,,lightning,ba,100,50
seconds,7.999999999999988,,lightning,t4,255,50
seconds,8.099999999999987,,lightning,t0,255,50
seconds,8.199999999999987,,lightning,t4,255,50
seconds,8.299999999999986,,lightning,t5,255,50
seconds,8.399999999999986,,lightning,t0,255,50
seconds,8.499999999999986,,lightning,t1,255,50
seconds,8.599999999999985,,lightning,t4,255,50
seconds,8.699999999999985,,lightning,t0,255,50
seconds,8.799999999999985,,lightning,t4,255,50
seconds,8.899999999999984,,lightning,t0,255,50
seconds,8.999999999999984,,lightning,ba,100,50
seconds,9.099999999999984,,lightning,t5,255,50
seconds,9.199999999999983,,lightning,t1,255,50
seconds,9.299999999999983,,lightning,t4,255,50
seconds,9.399999999999983,,lightning,t1,255,50
seconds,9.499999999999982,,lightning,t5,255,50
seconds,9.599999999999982,,lightning,t0,255,50
seconds,9.699999999999982,,lightning,ba,100,50
seconds,9.799999999999981,,lightning,t4,255,50
seconds,9.89999999999998,,lightning,t0,255,50
seconds,9.99999999999998,,lightning,t4,255,50
seconds,10.09999999999998,,instant,ta,0,ba,0
seconds,10.09999999999998,,special,ms,0,30
