seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t0,255,52
seconds,0.098,,lightning,t5,255,51
seconds,0.195,,lightning,t4,255,47
seconds,0.29300000000000004,,lightning,t5,255,52
seconds,0.392,,lightning,t0,255,47
seconds,0.486,,lightning,t5,255,48
seconds,0.583,,lightning,t0,255,55
seconds,0.6829999999999999,,lightning,t4,255,49
seconds,0.7839999999999999,,lightning,t0,255,53
seconds,0.8879999999999999,,lightning,t1,255,45
seconds,0.9859999999999999,,lightning,t4,255,52
seconds,1.0919999999999999,,lightning,t1,255,55
seconds,1.194,,lightning,t5,255,48
seconds,1.29,,lightning,t1,255,45
seconds,1.3800000000000001,,lightning,t4,255,48
seconds,1.473,,lightning,t1,255,52
seconds,1.574,,lightning,t0,255,45
seconds,1.6680000000000001,,lightning,t4,255,48
seconds,1.7710000000000001,,lightning,t0,255,50
seconds,1.872,,lightning,t1,255,55
seconds,1.9760000000000002,,lightning,t0,255,54
seconds,2.083,,lightning,t5,255,47
seconds,2.177,,lightning,t1,255,45
seconds,2.267,,lightning,t0,255,49
seconds,2.366,,lightning,t4,255,48
seconds,2.4650000000000003,,lightning,t5,255,49
seconds,2.563,,lightning,t1,255,48
seconds,2.6580000000000004,,lightning,t5,255,49
seconds,2.7570000000000006,,lightning,t4,255,50
seconds,2.8550000000000004,,lightning,t0,255,54
seconds,2.9620000000000006,,lightning,t5,255,47
seconds,3.057000000000001,,lightning,t0,255,49
seconds,3.157000000000001,,lightning,t1,255,45
seconds,3.254000000000001,,lightning,t4,255,50
seconds,3.357000000000001,,lightning,t1,255,51
seconds,3.453000000000001,,lightning,t0,255,50
seconds,3.5490000000000013,,lightning,t1,255,53
seconds,3.6520000000000015,,lightning,t5,255,52
seconds,3.7560000000000016,,lightning,t0,255,55
seconds,3.8590000000000018,,lightning,t1,255,53
seconds,3.9600000000000017,,lightning,t0,255,53
seconds,4.066000000000002,,lightning,t1,255,50
seconds,4.162000000000002,,lightning,t4,255,46
seconds,4.260000000000002,,lightning,t0,255,51
seconds,4.359000000000002,,lightning,t4,255,45
seconds,4.455000000000002,,lightning,t0,255,49
seconds,4.554000000000002,,lightning,t4,255,46
seconds,4.653000000000002,,lightning,t1,255,50
seconds,4.757000000000002,,lightning,t4,255,51
seconds,4.853000000000002,,lightning,t0,255,49
seconds,4.947000000000003,,lightning,t4,255,52
seconds,5.047000000000002,,lightning,t5,255,52
seconds,5.153000000000002,,lightning,t1,255,54
seconds,5.2600000000000025,,lightning,t5,255,51
seconds,5.366000000000002,,lightning,t4,255,45
seconds,5.4570000000000025,,lightning,t1,255,54
seconds,5.5660000000000025,,lightning,t5,255,53
seconds,5.665000000000003,,lightning,t4,255,45
seconds,5.7600000000000025,,lightning,t0,255,52
seconds,5.859000000000003,,lightning,t1,255,47
seconds,5.960000000000003,,lightning,t5,255,46
seconds,6.0580000000000025,,lightning,t1,255,51
seconds,6.162000000000003,,lightning,t5,255,55
seconds,6.270000000000002,,lightning,t1,255,45
seconds,6.361000000000002,,lightning,t4,255,55
seconds,6.469000000000002,,lightning,t0,255,55
seconds,6.572000000000002,,lightning,t4,255,46
seconds,6.667000000000002,,lightning,t5,255,50
seconds,6.762000000000001,,lightning,t4,255,48
seconds,6.855000000000001,,lightning,t0,255,55
seconds,6.956000000000001,,lightning,t5,255,50
seconds,7.061000000000002,,lightning,t4,255,49
seconds,7.159000000000002,,lightning,t0,255,50
seconds,7.261000000000002,,lightning,t5,255,51
seconds,7.360000000000002,,lightning,t4,255,48
seconds,7.456000000000002,,lightning,t0,255,49
seconds,7.556000000000002,,lightning,t1,255,53
seconds,7.6640000000000015,,lightning,t4,255,47
seconds,7.759000000000001,,lightning,t5,255,51
seconds,7.855000000000001,,lightning,t0,255,52
seconds,7.9540000000000015,,lightning,t1,255,50
seconds,8.053,,lightning,t5,255,54
seconds,8.152000000000001,,lightning,t0,255,51
seconds,8.250000000000002,,lightning,t4,255,52
seconds,8.356000000000002,,lightning,t0,255,54
seconds,8.465000000000002,,lightning,t4,255,49
seconds,8.561000000000002,,lightning,t5,255,51
seconds,8.664000000000001,,lightning,t1,255,45
seconds,8.761000000000001,,lightning,t4,255,47
seconds,8.857000000000001,,lightning,t0,255,47
seconds,8.956000000000001,,lightning,t5,255,46
seconds,9.056000000000001,,instant,ta,0,ba,0
seconds,9.056000000000001,,special,ms,0,30
