seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t4,255,49
seconds,0.027,,lightning,t0,255,48
seconds,0.051000000000000004,,lightning,t1,255,40
seconds,0.08600000000000001,,lightning,t5,255,49
seconds,0.12100000000000001,,lightning,t4,255,43
seconds,0.14700000000000002,,lightning,t5,255,42
seconds,0.18100000000000002,,lightning,t1,255,48
seconds,0.21000000000000002,,lightning,t4,255,43
seconds,0.231,,lightning,t1,255,50
seconds,0.254,,lightning,t0,255,44
seconds,0.274,,lightning,t4,255,44
seconds,0.29800000000000004,,lightning,t0,255,45
seconds,0.32500000000000007,,lightning,t5,255,45
seconds,0.3590000000000001,,lightning,t0,255,45
seconds,0.3840000000000001,,lightning,t5,255,47
seconds,0.41300000000000014,,lightning,t0,255,45
seconds,0.4440000000000002,,lightning,t5,255,40
seconds,0.4650000000000002,,lightning,t4,255,45
seconds,0.4850000000000002,,lightning,t0,255,46
seconds,0.5200000000000002,,lightning,t5,255,49
seconds,0.5440000000000003,,lightning,t4,255,48
seconds,0.5700000000000003,,lightning,t0,255,44
seconds,0.6010000000000003,,lightning,t5,255,44
seconds,0.6220000000000003,,lightning,t0,255,49
seconds,0.6490000000000004,,lightning,t4,255,48
seconds,0.6750000000000004,,lightning,t5,255,44
seconds,0.7030000000000004,,lightning,t1,255,50
seconds,0.7350000000000004,,lightning,t5,255,42
seconds,0.7630000000000005,,lightning,t1,255,47
seconds,0.7900000000000005,,lightning,t5,255,46
seconds,0.8160000000000005,,lightning,t1,255,40
seconds,0.8390000000000005,,lightning,t4,255,50
seconds,0.8620000000000005,,lightning,t1,255,42
seconds,0.8900000000000006,,lightning,t0,255,48
seconds,0.9100000000000006,,lightning,t4,255,50
seconds,0.9310000000000006,,lightning,t1,255,44
seconds,0.9580000000000006,,lightning,t0,255,41
seconds,0.9880000000000007,,lightning,t1,255,47
seconds,1.0090000000000006,,lightning,t0,255,50
seconds,1.0350000000000006,,lightning,t5,255,48
seconds,1.0670000000000006,,lightning,t4,255,47
seconds,1.0930000000000006,,lightning,t5,255,42
seconds,1.1260000000000006,,lightning,t1,255,42
seconds,1.1550000000000005,,lightning,t4,255,41
seconds,1.1900000000000004,,lightning,t1,255,49
seconds,1.2220000000000004,,lightning,t5,255,40
seconds,1.2430000000000003,,lightning,t1,255,46
seconds,1.2730000000000004,,lightning,t4,255,49
seconds,1.2940000000000003,,lightning,t5,255,46
seconds,1.3280000000000003,,lightning,t4,255,46
seconds,1.3530000000000002,,lightning,t5,255,49
seconds,1.3840000000000001,,lightning,t4,255,42
seconds,1.417,,lightning,t0,255,42
seconds,1.448,,lightning,t1,255,45
seconds,1.478,,lightning,t4,255,49
