seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightningdisappear,ta,80,0,1,80
seconds,0.51,,lightningdisappear,ta,80,0,1,80
seconds,1.02,,lightningdisappear,ta,80,0,1,80
seconds,1.53,,lightningdisappear,ta,80,0,1,80
seconds,2.04,,lightningdisappear,ta,80,0,1,80
seconds,2.55,,special,tr
seconds,0,,lightning,t4,255,56
seconds,0.113,,lightning,t1,255,59
seconds,0.222,,lightning,t0,255,54
seconds,0.317,,lightning,t4,255,40
seconds,0.40700000000000003,,lightning,t5,255,49
seconds,0.502,,lightning,t0,255,43
seconds,0.604,,lightning,t1,255,42
seconds,0.688,,lightning,t0,255,59
seconds,0.8019999999999999,,lightning,t1,255,55
seconds,0.9149999999999999,,lightning,t0,255,45
seconds,1.001,,lightning,t5,255,56
seconds,1.115,,lightning,t0,255,47
seconds,1.221,,lightning,t5,255,56
seconds,1.324,,lightning,t1,255,48
seconds,1.4120000000000001,,lightning,t4,255,59
seconds,1.5290000000000001,,lightning,t1,255,41
seconds,1.6270000000000002,,lightning,t5,255,42
seconds,1.7170000000000003,,lightning,t0,255,48
seconds,1.8100000000000003,,lightning,t1,255,57
seconds,1.9190000000000003,,lightning,t5,255,57
seconds,2.027,,lightning,t1,255,45
seconds,2.1140000000000003,,lightning,t4,255,54
seconds,2.2090000000000005,,lightning,t5,255,45
seconds,2.3010000000000006,,lightning,t4,255,50
seconds,2.396000000000001,,lightning,t5,255,45
seconds,2.492000000000001,,lightning,t0,255,55
seconds,2.5940000000000007,,lightning,t1,255,41
seconds,2.686000000000001,,lightning,t0,255,42
seconds,2.773000000000001,,lightning,t5,255,45
seconds,2.874000000000001,,lightning,t0,255,48
seconds,2.981000000000001,,lightning,t1,255,59
seconds,3.0890000000000013,,lightning,t4,255,47
seconds,3.1960000000000015,,lightning,t1,255,53
seconds,3.2890000000000015,,lightning,t5,255,42
seconds,3.3860000000000015,,lightning,t1,255,41
seconds,3.4860000000000015,,lightning,t0,255,55
seconds,3.5960000000000014,,lightning,t4,255,48
seconds,3.6970000000000014,,lightning,t0,255,45
seconds,3.8020000000000014,,lightning,t4,255,58
seconds,3.9020000000000015,,lightning,t1,255,47
seconds,3.9980000000000016,,lightning,t0,255,47
seconds,4.097000000000001,,lightning,t4,255,51
seconds,4.195000000000001,,lightning,t0,255,47
seconds,4.2890000000000015,,lightning,t5,255,57
seconds,4.397000000000001,,lightning,t1,255,40
seconds,4.485000000000001,,lightning,t0,255,46
seconds,4.581000000000001,,lightning,t1,255,60
seconds,4.693000000000001,,lightning,t4,255,58
seconds,4.810000000000001,,lightning,t5,255,43
seconds,4.903000000000001,,lightning,t0,255,52
seconds,5.365000000000001,,lightningdisappear,ta,80,0,1,80
seconds,5.875000000000001,,lightningdisappear,ta,80,0,1,80
seconds,6.385000000000001,,lightningdisappear,ta,80,0,1,80
seconds,6.8950000000000005,,lightningdisappear,ta,80,0,1,80
seconds,7.405,,lightningdisappear,ta,80,0,1,80
seconds,7.915,,instant,ta,0,ba,0
seconds,7.915,,special,ms,0,30
