Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,special,TRIGGER_DOWN,,,
seconds,0,,special,tr,,,
seconds,0,,instant,ta,80,,
seconds,1,,instant,ta,0,,
seconds,1,,special,ms,60,20,
pos,0.125,,special,ms,0,30,
pos,0.125,,instant,ta,0,ba,0
pos,0.125,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.25,,special,ms,0,30,
pos,0.25,,instant,ta,0,,
pos,0.25,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.375,,special,ms,0,30,
pos,0.375,,instant,ta,0,,
pos,0.375,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.5,,special,ms,0,30,
pos,0.5,,instant,ta,0,,
pos,0.5,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.625,,special,ms,0,30,
pos,0.625,,instant,ta,0,,
pos,0.625,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.75,,special,ms,0,30,
pos,0.75,,instant,ta,0,,
pos,0.75,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,3,,special,ms,60,20,
pos,0.875,,special,ms,0,30,
pos,0.875,,instant,ta,0,ba,0
pos,0.875,,special,tr,,,
seconds,2,,instant,ta,80,,
seconds,3,,instant,ta,0,,
seconds,2.5,,special,TRIGGER_UP,,,
