Trigger Type,Trigger From,Trigger To,Command Type,,
seconds,0,,special,TRIGGER_DOWN,
seconds,0,,special,tr,
seconds,0,,instant,ta,80
seconds,1,,instant,ta,0
seconds,3.47,,instant,ta,80
seconds,4.47,,instant,ta,0
seconds,6.94,,instant,ta,80
seconds,7.94,,instant,ta,0
seconds,10.41,,instant,ta,80
seconds,11.41,,instant,ta,0
seconds,13.88,,instant,ta,80
seconds,14.88,,instant,ta,0
seconds,17.35,,instant,ta,80
seconds,18.35,,instant,ta,0
seconds,20.82,,instant,ta,80
seconds,21.82,,instant,ta,0
seconds,24.29,,instant,ta,80
seconds,25.29,,instant,ta,0
seconds,25.29,,special,TRIGGER_UP,
