Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,special,ms,50,30,
seconds,0,,instant,ta,0,ba,0
pos,0.9,,special,tb,220,,
pos,1,,special,tr,,,
pos,1,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.125,,special,tr,,,
pos,1.125,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.25,,special,tr,,,
pos,1.25,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.375,,special,tr,,,
pos,1.375,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.5,,special,tr,,,
pos,1.5,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.625,,special,tr,,,
pos,1.625,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.75,,special,tr,,,
pos,1.75,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,1.875,,special,tr,,,
pos,1.875,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.5,,special,ms,0,50,
