Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,special,tb,180,,
seconds,0,,special,tr,,,
seconds,0,,instant,ta,15,ba,15
seconds,1,,instant,ta,10,ba,10
seconds,1,,special,ms,60,20,
pos,0.1,,special,ms,0,30,
pos,0.1,,instant,ta,0,ba,0
pos,0.1,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.2,,special,ms,0,30,
pos,0.2,,instant,ta,0,ba,0
pos,0.2,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.3,,special,ms,0,30,
pos,0.3,,instant,ta,0,ba,0
pos,0.3,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.4,,special,ms,0,30,
pos,0.4,,instant,ta,0,ba,0
pos,0.4,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.55,,special,ms,0,30,
pos,0.55,,instant,ta,0,ba,0
pos,0.55,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.65,,special,ms,0,30,
pos,0.65,,instant,ta,0,ba,0
pos,0.65,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.8,,special,ms,0,30,
pos,0.8,,instant,ta,0,ba,0
pos,0.8,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
seconds,2,,special,ms,60,20,
pos,0.9,,special,ms,0,30,
pos,0.9,,instant,ta,0,ba,0
pos,0.9,,special,tr,,,
seconds,1,,instant,ta,15,ba,15
seconds,2,,instant,ta,0,ba,0
