Trigger Type,Trigger From,Trigger To,Command Type,,,,
time,00.00.00,,instant,ta,0,ba,0
time,00.00.01,,special,tb,30,,
time,00.03.02,,instant,ta,30,ba,30
time,00.03.03,,special,tb,30,,
time,00.06.04,,instant,ta,60,ba,60
time,00.06.05,,special,tb,30,,
time,00.09.06,,instant,ta,90,ba,90
time,00.09.07,,special,tb,30,,
time,00.12.08,,instant,ta,120,ba,120
time,00.12.09,,special,tb,30,,
time,00.15.10,,instant,ta,150,ba,150
time,00.15.11,,special,tb,30,,
time,00.18.12,,instant,ta,180,ba,180
time,00.18.13,,special,tb,30,,
time,00.21.14,,instant,ta,210,ba,210
time,00.21.15,,special,tb,30,,
time,00.24.16,,instant,ta,240,ba,240
time,00.24.17,,special,tb,30,,
time,00.27.18,,instant,ta,255,ba,255
time,00.27.19,,special,tb,30,,
