Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,special,ms,60,30,
seconds,0,,instant,ta,0,ba,0
pos,2,,special,tr,,,
pos,2,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.125,,special,tr,,,
pos,2.125,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.25,,special,tr,,,
pos,2.25,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.375,,special,tr,,,
pos,2.375,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.5,,special,tr,,,
pos,2.5,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.625,,special,tr,,,
pos,2.625,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.75,,special,tr,,,
pos,2.75,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,2.875,,special,tr,,,
pos,2.875,,instant,ta,15,ba,15
seconds,1,,instant,ta,0,ba,0
pos,3.5,,special,ms,0,50,
