Trigger Type,Trigger From,Trigger To,Command Type,,,,,,
time,00.00.03,00.00.05,instanttolinear,ta,255,0,,,
time,00.00.05,00.02.00,instanttolinear,ta,0,255,,,
time,00.02.00,00.02.02,instanttolinear,ta,255,0,,,
time,00.02.03,00.02.16,instanttolinear,ta,0,100,,,
time,00.02.16,00.02.18,instanttolinear,ta,255,0,,,
time,00.02.18,00.05.03,instanttolinear,ta,0,255,,,
time,00.05.04,,strobe,ta,255,90,,,
time,00.07.01,00.07.04,instanttolinear,ta,255,0,,,
time,00.07.04,00.07.17,instanttolinear,ta,0,100,,,
time,00.07.17,00.07.19,instanttolinear,ta,255,0,,,
time,00.07.20,00.10.05,instanttolinear,ta,0,255,,,
time,00.10.06,00.10.08,instanttolinear,ta,255,0,,,
time,00.10.08,,strobe,ba,200,167,,,
time,00.10.08,00.12.02,instanttolinear,ta,0,255,,,
time,00.12.03,00.12.05,instanttolinear,ta,255,0,,,
time,00.12.19,00.12.21,instanttolinear,ta,255,0,,,
time,00.12.21,00.15.07,instanttolinear,ta,0,255,,,
time,00.15.07,,strobe,ta,255,90,,,
time,00.16.00,00.17.04,instanttolinear,ta,0,100,,,
time,00.17.04,00.17.06,instanttolinear,ta,255,0,,,
time,00.17.20,00.17.22,instanttolinear,ta,255,0,,,
time,00.17.22,00.20.08,instanttolinear,ta,0,255,,,
time,00.20.09,00.22.05,instanttolinear,ta,0,255,ba,0,200
time,00.22.06,00.22.21,instanttolinear,ta,0,100,ba,0,100
time,00.22.21,00.25.09,instanttolinear,ta,0,255,ba,0,200
time,00.25.10,,strobe,ta,255,90,ba,200,90
time,00.26.03,00.27.07,instanttolinear,ta,0,255,ba,0,200
time,00.27.07,00.27.23,instanttolinear,ta,0,100,ba,0,100
time,00.27.23,00.30.12,instanttolinear,ta,0,255,ba,0,255
time,00.30.12,,instant,ta,0,ba,0,,
