Trigger Type,Trigger From,Trigger To,Command Type,,,,,
seconds,0,,instant,ta,0,ba,0,
seconds,0,,special,ms,100,30,,
pos,1,,lightningdisappear,ta,70,0,1,80
pos,1.08333333333333,,lightningdisappear,ta,70,0,1,80
pos,1.16666666666667,,lightningdisappear,ta,70,0,1,80
pos,1.25,,lightningdisappear,ta,70,0,1,80
pos,1.33333333333333,,lightningdisappear,ta,70,0,1,80
pos,1.41666666666667,,lightningdisappear,ta,70,0,1,80
pos,1.5,,lightningdisappear,ta,70,0,1,80
pos,1.58333333333333,,lightningdisappear,ta,70,0,1,80
pos,1.66666666666667,,lightningdisappear,ta,70,0,1,80
pos,1.75,,lightningdisappear,ta,70,0,1,80
pos,1.83333333333333,,lightningdisappear,ta,70,0,1,80
pos,1.91666666666667,,lightningdisappear,ta,70,0,1,80
pos,2,,lightningdisappear,ta,70,0,1,80
pos,2.08333333333333,,lightningdisappear,ta,70,0,1,80
pos,2.16666666666667,,lightningdisappear,ta,70,0,1,80
pos,2.25,,lightningdisappear,ta,70,0,1,80
pos,2.33333333333333,,lightningdisappear,ta,70,0,1,80
pos,2.41666666666667,,lightningdisappear,ta,70,0,1,80
pos,2.5,,lightningdisappear,ta,70,0,1,80
pos,2.58333333333333,,lightningdisappear,ta,70,0,1,80
pos,2.66666666666667,,lightningdisappear,ta,70,0,1,80
pos,2.75,,lightningdisappear,ta,70,0,1,80
pos,2.83333333333333,,lightningdisappear,ta,70,0,1,80
pos,2.91666666666667,,lightningdisappear,ta,70,0,1,80
pos,3,,lightningdisappear,ta,70,0,1,80
pos,3.08333333333333,,lightningdisappear,ta,70,0,1,80
pos,3.16666666666667,,lightningdisappear,ta,70,0,1,80
pos,3.25,,lightningdisappear,ta,70,0,1,80
pos,3.33333333333333,,lightningdisappear,ta,70,0,1,80
pos,3.41666666666667,,lightningdisappear,ta,70,0,1,80
pos,3.5,,lightningdisappear,ta,70,0,1,80
pos,3.58333333333334,,lightningdisappear,ta,70,0,1,80
pos,3.66666666666667,,lightningdisappear,ta,70,0,1,80
pos,3.75,,lightningdisappear,ta,70,0,1,80
pos,3.83333333333334,,lightningdisappear,ta,70,0,1,80
pos,3.91666666666667,,lightningdisappear,ta,70,0,1,80
pos,4,,instant,ta,0,ba,0,
pos,4,,special,ms,0,30,,
