Trigger Type,Trigger From,Trigger To,Command Type,,,,,
seconds,0,,instant,ta,0,ba,0,
seconds,0,,special,ms,100,30,,
pos,1,,lightningdisappear,ta,70,0,1,80
pos,1.0625,,lightningdisappear,ta,70,0,1,80
pos,1.125,,lightningdisappear,ta,70,0,1,80
pos,1.1875,,lightningdisappear,ta,70,0,1,80
pos,1.25,,lightningdisappear,ta,70,0,1,80
pos,1.3125,,lightningdisappear,ta,70,0,1,80
pos,1.375,,lightningdisappear,ta,70,0,1,80
pos,1.4375,,lightningdisappear,ta,70,0,1,80
pos,1.5,,lightningdisappear,ta,70,0,1,80
pos,1.5625,,lightningdisappear,ta,70,0,1,80
pos,1.625,,lightningdisappear,ta,70,0,1,80
pos,1.6875,,lightningdisappear,ta,70,0,1,80
pos,1.75,,lightningdisappear,ta,70,0,1,80
pos,1.8125,,lightningdisappear,ta,70,0,1,80
pos,1.875,,lightningdisappear,ta,70,0,1,80
pos,1.9375,,lightningdisappear,ta,70,0,1,80
pos,2,,lightningdisappear,ta,70,0,1,80
pos,2.0625,,lightningdisappear,ta,70,0,1,80
pos,2.125,,lightningdisappear,ta,70,0,1,80
pos,2.1875,,lightningdisappear,ta,70,0,1,80
pos,2.25,,lightningdisappear,ta,70,0,1,80
pos,2.3125,,lightningdisappear,ta,70,0,1,80
pos,2.375,,lightningdisappear,ta,70,0,1,80
pos,2.4375,,lightningdisappear,ta,70,0,1,80
pos,2.5,,lightningdisappear,ta,70,0,1,80
pos,2.5625,,lightningdisappear,ta,70,0,1,80
pos,2.625,,lightningdisappear,ta,70,0,1,80
pos,2.6875,,lightningdisappear,ta,70,0,1,80
pos,2.75,,lightningdisappear,ta,70,0,1,80
pos,2.8125,,lightningdisappear,ta,70,0,1,80
pos,2.875,,lightningdisappear,ta,70,0,1,80
pos,2.9375,,lightningdisappear,ta,70,0,1,80
pos,3,,lightningdisappear,ta,70,0,1,80
pos,3.0625,,lightningdisappear,ta,70,0,1,80
pos,3.125,,lightningdisappear,ta,70,0,1,80
pos,3.1875,,lightningdisappear,ta,70,0,1,80
pos,3.25,,lightningdisappear,ta,70,0,1,80
pos,3.3125,,lightningdisappear,ta,70,0,1,80
pos,3.375,,lightningdisappear,ta,70,0,1,80
pos,3.4375,,lightningdisappear,ta,70,0,1,80
pos,3.5,,lightningdisappear,ta,70,0,1,80
pos,3.5625,,lightningdisappear,ta,70,0,1,80
pos,3.625,,lightningdisappear,ta,70,0,1,80
pos,3.6875,,lightningdisappear,ta,70,0,1,80
pos,3.75,,lightningdisappear,ta,70,0,1,80
pos,3.8125,,lightningdisappear,ta,70,0,1,80
pos,3.875,,lightningdisappear,ta,70,0,1,80
pos,3.9375,,lightningdisappear,ta,70,0,1,80
pos,4,,instant,ta,0,ba,0,
pos,4,,special,ms,0,30,,
