seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightning,t4,255,42
seconds,0.024,,lightning,ba,90,42
seconds,0.051000000000000004,,lightning,t1,255,44
seconds,0.081,,lightning,ba,90,50
seconds,0.111,,lightning,t0,255,47
seconds,0.132,,lightning,ba,90,50
seconds,0.156,,lightning,t4,255,49
seconds,0.181,,lightning,ba,90,46
seconds,0.211,,lightning,t1,255,45
seconds,0.23099999999999998,,lightning,ba,90,46
seconds,0.261,,lightning,t0,255,45
seconds,0.28800000000000003,,lightning,ba,90,43
seconds,0.31700000000000006,,lightning,t5,255,47
seconds,0.3400000000000001,,lightning,ba,90,44
seconds,0.3670000000000001,,lightning,t0,255,49
seconds,0.3870000000000001,,lightning,ba,90,48
seconds,0.40800000000000014,,lightning,t1,255,42
seconds,0.42900000000000016,,lightning,ba,90,44
seconds,0.4590000000000002,,lightning,t4,255,42
seconds,0.4800000000000002,,lightning,ba,90,47
seconds,0.5050000000000002,,lightning,t5,255,49
seconds,0.5320000000000003,,lightning,ba,90,49
seconds,0.5550000000000003,,lightning,t4,255,46
seconds,0.5790000000000003,,lightning,ba,90,48
seconds,0.6040000000000003,,lightning,t5,255,43
seconds,0.6290000000000003,,lightning,ba,90,43
seconds,0.6570000000000004,,lightning,t4,255,50
seconds,0.6790000000000004,,lightning,ba,90,41
seconds,0.7060000000000004,,lightning,t1,255,45
seconds,0.7260000000000004,,lightning,ba,90,45
seconds,0.7520000000000004,,lightning,t4,255,42
seconds,0.7740000000000005,,lightning,ba,90,41
seconds,0.8000000000000005,,lightning,t1,255,49
seconds,0.8230000000000005,,lightning,ba,90,50
seconds,0.8470000000000005,,lightning,t5,255,41
seconds,0.8710000000000006,,lightning,ba,90,49
seconds,0.8920000000000006,,lightning,t0,255,41
seconds,0.9200000000000006,,lightning,ba,90,42
seconds,0.9440000000000006,,lightning,t4,255,45
seconds,0.9680000000000006,,lightning,ba,90,48
seconds,0.9950000000000007,,lightning,t1,255,43
seconds,1.0220000000000007,,lightning,ba,90,42
seconds,1.0450000000000006,,lightning,t4,255,45
seconds,1.0690000000000006,,lightning,ba,90,47
seconds,1.0950000000000006,,lightning,t1,255,49
seconds,1.1170000000000007,,lightning,ba,90,47
seconds,1.1370000000000007,,lightning,t4,255,49
seconds,1.1660000000000006,,lightning,ba,90,45
seconds,1.1890000000000005,,lightning,t0,255,47
seconds,1.2140000000000004,,lightning,ba,90,46
seconds,1.2370000000000003,,lightning,t5,255,42
seconds,1.2630000000000003,,lightning,ba,90,45
seconds,1.2890000000000004,,lightning,t1,255,44
seconds,1.3150000000000004,,lightning,ba,90,47
seconds,1.3350000000000004,,lightning,t4,255,50
