Trigger Type,Trigger From,Trigger To,Command Type,,,,,
seconds,0,,instant,ta,0,ba,0,
seconds,0,,special,ms,100,30,,
pos,0.5,,special,tr,,,,
seconds,0,,lightningdisappear,t0,255,0,1,50
seconds,1,,lightningdisappear,t1,255,0,1,50
seconds,2,,lightningdisappear,t4,255,0,1,50
seconds,3,,lightningdisappear,t5,255,0,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningdisappear,t0,255,0,1,50
seconds,1,,lightningdisappear,t1,255,0,1,50
seconds,2,,lightningdisappear,t4,255,0,1,50
seconds,3,,lightningdisappear,t5,255,0,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningdisappear,t0,255,0,1,50
seconds,1,,lightningdisappear,t1,255,0,1,50
seconds,2,,lightningdisappear,t4,255,0,1,50
seconds,3,,lightningdisappear,t5,255,0,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningdisappear,t0,255,0,1,50
seconds,1,,lightningdisappear,t1,255,0,1,50
seconds,2,,lightningdisappear,t4,255,0,1,50
seconds,3,,lightningdisappear,t5,255,0,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningdisappear,t0,255,0,1,50
seconds,1,,lightningdisappear,t1,255,0,1,50
seconds,2,,lightningdisappear,t4,255,0,1,50
seconds,3,,lightningdisappear,t5,255,0,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningappear,t0,0,255,1,50
seconds,1,,lightningappear,t1,0,255,1,50
seconds,2,,lightningappear,t4,0,255,1,50
seconds,3,,lightningappear,t5,0,255,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningappear,t0,0,255,1,50
seconds,1,,lightningappear,t1,0,255,1,50
seconds,2,,lightningappear,t4,0,255,1,50
seconds,3,,lightningappear,t5,0,255,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningappear,t0,0,255,1,50
seconds,1,,lightningappear,t1,0,255,1,50
seconds,2,,lightningappear,t4,0,255,1,50
seconds,3,,lightningappear,t5,0,255,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningappear,t0,0,255,1,50
seconds,1,,lightningappear,t1,0,255,1,50
seconds,2,,lightningappear,t4,0,255,1,50
seconds,3,,lightningappear,t5,0,255,1,50
seconds,4,,special,tr,,,,
seconds,0,,lightningappear,t0,0,255,1,50
seconds,1,,lightningappear,t1,0,255,1,50
seconds,2,,lightningappear,t4,0,255,1,50
seconds,3,,lightningappear,t5,0,255,1,50
seconds,4,,special,tr,,,,
seconds,2,,acceleratingstrobe,ta,64,50,255,5
seconds,9,,instant,ta,0,ba,0,
seconds,9,,special,ms,0,30,,
